Target,Datetime_utc,Rating
TIC 204698586,2023-05-01T04:10:47.945Z,1
TIC 161043618,2023-05-01T02:51:34.100Z,1
TIC 123098844,2023-05-01T14:23:26.864Z,2
TIC 89278612,2023-05-01T12:47:20.368Z,2
TIC 278352276,2023-05-01T22:33:43.886Z,3
TIC 322727163,2023-05-02T10:04:49.666Z,3
TIC 375325607,2023-05-02T10:22:49.471Z,1
TIC 123098844,2023-06-14T10:56:41.427Z,1
TIC 89278612,2023-06-14T10:52:55.719Z,1
TIC 278352276,2023-06-14T10:32:57.428Z,1
TIC 322727163,2023-06-14T10:41:11.679Z,1
TIC 375325607,2023-06-14T10:45:05.380Z,1
TIC 414026507,2023-06-19T09:28:51.032Z,1.5
TIC 25818450,2023-06-18T10:16:23.367Z,1.5
TIC 470710327,2023-06-18T10:12:36.487Z,2.5
TIC 283940788,2023-06-18T10:30:57.474Z,1.5
TIC 307119043,2023-06-18T10:47:17.668Z,2.5
TIC 389836747,2023-06-18T10:53:01.101Z,3
TIC 322727163,2023-09-15T09:06:28.556Z,2
TIC 375325607,2023-09-15T09:09:37.810Z,1
TIC 427092089,2023-09-15T10:30:44.537Z,1.5
TIC 470710327,2023-09-15T12:10:25.498Z,2.5
TIC 283940788,2023-09-15T12:28:13.038Z,1.5
TIC 89278612,2023-10-22T02:33:30.533Z,3
TIC 322727163,2023-11-02T02:23:57.962Z,3
TIC 375325607,2023-11-02T05:19:35.236Z,2
TIC 470710327,2023-11-02T05:44:14.005Z,3
TIC 283940788,2023-11-02T05:33:23.258Z,2
TIC 307119043,2023-11-02T05:39:49.350Z,3.5
TIC 336882813,2023-11-02T11:10:34.924Z,1
TIC 470710327,2023-11-02T05:44:14.005Z,3
TIC 266771301,2023-11-02T11:24:03.663Z,2
TIC 367448265,2023-11-02T11:41:31.028Z,4
TIC 78568780,2023-11-02T10:50:58.296Z,2
TIC 200094011,2023-11-02T11:16:01.002Z,2
TIC 336882813,2023-11-02T11:10:34.924Z,1
TIC 391620600,2023-12-06T05:43:31.259Z,1
TIC 78568780,2023-12-06T07:12:08.557Z,1
TIC 348651800,2023-12-06T07:31:16.170Z,2
TIC 200094011,2023-12-06T07:54:57.248Z,2.5
TIC 239872462,2023-12-06T08:15:12.759Z,3
TIC 204698586,2023-05-01T04:07:17.092Z,2
TIC 161043618,2023-05-01T02:51:34.014Z,2
TIC 123098844,2023-05-01T14:23:26.498Z,3
TIC 89278612,2023-05-01T12:47:19.585Z,3
TIC 278352276,2023-05-01T22:33:43.875Z,3.5
TIC 322727163,2023-05-02T10:04:49.654Z,3.5
TIC 375325607,2023-05-02T10:22:49.461Z,2.5
TIC 123098844,2023-06-14T10:56:41.416Z,3
TIC 89278612,2023-06-14T10:52:55.707Z,2.5
TIC 278352276,2023-06-14T10:32:57.418Z,3
TIC 322727163,2023-06-14T10:41:11.667Z,3
TIC 375325607,2023-06-14T10:45:05.369Z,2.5
TIC 414026507,2023-06-19T09:28:49.519Z,2
TIC 25818450,2023-06-18T10:16:23.235Z,0
TIC 470710327,2023-06-18T10:12:36.479Z,0
TIC 283940788,2023-06-18T10:30:57.631Z,0
TIC 307119043,2023-06-18T10:47:17.658Z,0
TIC 389836747,2023-06-18T10:53:01.089Z,0
TIC 322727163,2023-09-15T09:06:28.557Z,3
TIC 375325607,2023-09-15T09:09:37.813Z,2.5
TIC 427092089,2023-09-15T10:30:44.539Z,3
TIC 470710327,2023-09-15T12:10:25.501Z,2.5
TIC 283940788,2023-09-15T12:28:13.035Z,2.5
TIC 89278612,2023-10-22T02:33:30.528Z,3.5
TIC 322727163,2023-11-02T02:23:57.963Z,3.5
TIC 375325607,2023-11-02T05:19:35.239Z,2.5
TIC 470710327,2023-11-02T05:44:14.003Z,3
TIC 283940788,2023-11-02T05:33:23.254Z,2
TIC 307119043,2023-11-02T05:39:49.349Z,3.5
TIC 336882813,2023-11-02T11:10:34.923Z,3
TIC 470710327,2023-11-02T05:44:14.003Z,3
TIC 266771301,2023-11-02T11:24:03.664Z,3
TIC 367448265,2023-11-02T11:41:31.034Z,4
TIC 78568780,2023-11-02T10:50:58.292Z,2.5
TIC 200094011,2023-11-02T11:16:00.941Z,4
TIC 336882813,2023-11-02T11:10:34.923Z,3
TIC 391620600,2023-12-06T05:43:31.257Z,3
TIC 78568780,2023-12-06T07:12:08.559Z,2
TIC 348651800,2023-12-06T07:31:16.173Z,2
TIC 200094011,2023-12-06T07:54:57.252Z,3.5
TIC 239872462,2023-12-06T08:15:12.760Z,2.5
